A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/3/2016 3:00,2016,1,3,3,140,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 4:00,2016,1,3,4,142,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 5:00,2016,1,3,5,136,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 6:00,2016,1,3,6,131,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 7:00,2016,1,3,7,129,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 8:00,2016,1,3,8,148,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 9:00,2016,1,3,9,153,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 10:00,2016,1,3,10,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 11:00,2016,1,3,11,121,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 12:00,2016,1,3,12,116,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 13:00,2016,1,3,13,112,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 14:00,2016,1,3,14,98,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 15:00,2016,1,3,15,91,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 16:00,2016,1,3,16,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 17:00,2016,1,3,17,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 18:00,2016,1,3,18,120,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 19:00,2016,1,3,19,141,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 20:00,2016,1,3,20,131,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 21:00,2016,1,3,21,124,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 22:00,2016,1,3,22,94,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 23:00,2016,1,3,23,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 0:00,2016,1,4,0,81,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 1:00,2016,1,4,1,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 2:00,2016,1,4,2,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 3:00,2016,1,4,3,92,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 4:00,2016,1,4,4,92,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 5:00,2016,1,4,5,96,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 6:00,2016,1,4,6,97,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 7:00,2016,1,4,7,89,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 8:00,2016,1,4,8,98,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 9:00,2016,1,4,9,89,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 10:00,2016,1,4,10,86,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 11:00,2016,1,4,11,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 12:00,2016,1,4,12,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 13:00,2016,1,4,13,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 14:00,2016,1,4,14,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 15:00,2016,1,4,15,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 16:00,2016,1,4,16,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 17:00,2016,1,4,17,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 18:00,2016,1,4,18,99,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 19:00,2016,1,4,19,103,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 20:00,2016,1,4,20,112,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 21:00,2016,1,4,21,125,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 22:00,2016,1,4,22,123,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2016 23:00,2016,1,4,23,119,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 0:00,2016,1,5,0,95,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 1:00,2016,1,5,1,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 2:00,2016,1,5,2,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 3:00,2016,1,5,3,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 4:00,2016,1,5,4,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 5:00,2016,1,5,5,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 6:00,2016,1,5,6,31,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 7:00,2016,1,5,7,18,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 8:00,2016,1,5,8,8,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 9:00,2016,1,5,9,9,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 10:00,2016,1,5,10,13,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 11:00,2016,1,5,11,9,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 12:00,2016,1,5,12,13,µg/m³,1 Hr,Valid
