Date,Value
2/22/14,186
2/23/14,251
2/24/14,286
2/25/14,239
2/26/14,159
2/27/14,139
2/28/14,144
3/1/14,101
3/2/14,130
3/3/14,137
3/4/14,87
3/5/14,72
3/6/14,63
3/7/14,102
3/8/14,98
3/9/14,101
3/10/14,152
3/11/14,151
3/12/14,71
3/13/14,163
3/14/14,281
3/15/14,103
3/16/14,137
3/17/14,164
3/18/14,77
3/19/14,93
3/20/14,60
3/21/14,156
3/22/14,133
3/23/14,243
3/24/14,174
3/25/14,206
3/26/14,226
3/27/14,288
3/28/14,167
3/29/14,195
3/30/14,141
3/31/14,108
4/1/14,132
4/2/14,132
4/3/14,52
4/4/14,103
4/5/14,54
4/6/14,81
4/7/14,108
4/8/14,182
4/9/14,117
4/10/14,83
4/11/14,135
4/12/14,163
4/13/14,149
4/14/14,191
4/15/14,167
4/16/14,101
4/17/14,111
4/18/14,55
4/19/14,68
4/20/14,105
4/21/14,167
4/22/14,101
4/23/14,398
4/24/14,139
4/25/14,296
4/26/14,59
4/27/14,83
4/28/14,73
4/29/14,135
4/30/14,156
5/1/14,136
5/2/14,89
5/3/14,73
5/4/14,25
5/5/14,42
5/6/14,71
5/7/14,43
5/8/14,142
5/9/14,128
5/10/14,113
5/11/14,NaN
5/12/14,51
5/13/14,132
5/14/14,114
5/15/14,57
5/16/14,138
5/17/14,99
5/18/14,77
5/19/14,135
5/20/14,128
5/21/14,152
5/22/14,174
5/23/14,106
5/24/14,177
5/25/14,144
5/26/14,120
5/27/14,104
5/28/14,62
5/29/14,127
5/30/14,169
5/31/14,164
6/1/14,113
6/2/14,103
6/3/14,79
6/4/14,145
6/5/14,91
6/6/14,112
6/7/14,71
6/8/14,59
6/9/14,68
6/10/14,72
6/11/14,338
6/12/14,124
6/13/14,77
6/14/14,198
6/15/14,153
6/16/14,196
6/17/14,230
6/18/14,171
6/19/14,75
6/20/14,95
6/21/14,597
6/22/14,229
6/23/14,462
6/24/14,111
6/25/14,109
6/26/14,59
6/27/14,87
6/28/14,66
6/29/14,83
6/30/14,116
7/1/14,146
7/2/14,96
7/3/14,122
7/4/14,110
7/5/14,171
7/6/14,NaN
7/7/14,57
7/8/14,100
7/9/14,85
7/10/14,30
7/11/14,32
7/12/14,63
7/13/14,70
7/14/14,128
7/15/14,109
7/16/14,66
7/17/14,72
7/18/14,108
7/19/14,143
7/20/14,100
7/21/14,65
7/22/14,50
7/23/14,68
7/24/14,77
7/25/14,77
7/26/14,165
7/27/14,184
7/28/14,97
7/29/14,63
7/30/14,64
7/31/14,75
8/1/14,43
8/2/14,69
8/3/14,62
8/4/14,34
8/5/14,73
8/6/14,116
8/7/14,74
8/8/14,97
8/9/14,70
8/10/14,87
8/11/14,77
8/12/14,45
8/13/14,78
8/14/14,56
8/15/14,79
8/16/14,106
8/17/14,98
8/18/14,153
8/19/14,104
8/20/14,149
8/21/14,162
8/22/14,269
8/23/14,150
8/24/14,72
8/25/14,74
8/26/14,103
8/27/14,70
8/28/14,83
8/29/14,166
8/30/14,96
8/31/14,130
9/1/14,104
9/2/14,60
9/3/14,47
9/4/14,112
9/5/14,178
9/6/14,131
9/7/14,141
9/8/14,38
9/9/14,69
9/10/14,102
9/11/14,99
9/12/14,87
9/13/14,122
9/14/14,58
9/15/14,86
