Date,Value
2/12/13,86
2/13/13,99
2/14/13,92
2/15/13,94
2/16/13,149
2/17/13,130
2/18/13,83
2/19/13,91
2/20/13,136
2/21/13,152
2/22/13,152
2/23/13,132
2/24/13,223
2/25/13,229
2/26/13,155
2/27/13,228
2/28/13,231
3/1/13,114
3/2/13,95
3/3/13,110
3/4/13,129
3/5/13,161
3/6/13,298
3/7/13,222
3/8/13,309
3/9/13,292
3/10/13,349
3/11/13,331
3/12/13,223
3/13/13,230
3/14/13,196
3/15/13,220
3/16/13,176
3/17/13,178
3/18/13,184
3/19/13,84
3/20/13,NaN
3/21/13,NaN
3/22/13,NaN
3/23/13,NaN
3/24/13,NaN
3/25/13,NaN
3/26/13,NaN
3/27/13,NaN
3/28/13,NaN
3/29/13,NaN
3/30/13,NaN
3/31/13,NaN
4/1/13,NaN
4/2/13,NaN
4/3/13,NaN
4/4/13,NaN
4/5/13,NaN
4/6/13,NaN
4/7/13,NaN
4/8/13,NaN
4/9/13,NaN
4/10/13,NaN
4/11/13,NaN
4/12/13,NaN
4/13/13,NaN
4/14/13,NaN
4/15/13,NaN
4/16/13,NaN
4/17/13,NaN
4/18/13,NaN
4/19/13,182
4/20/13,115
4/21/13,92
4/22/13,109
4/23/13,116
4/24/13,88
4/25/13,99
4/26/13,148
4/27/13,265
4/28/13,271
4/29/13,198
4/30/13,83
5/1/13,108
5/2/13,66
5/3/13,257
5/4/13,95
5/5/13,125
5/6/13,82
5/7/13,102
5/8/13,156
5/9/13,38
5/10/13,47
5/11/13,98
5/12/13,136
5/13/13,200
5/14/13,142
5/15/13,87
5/16/13,51
5/17/13,61
5/18/13,42
5/19/13,74
5/20/13,113
5/21/13,98
5/22/13,178
5/23/13,190
5/24/13,119
5/25/13,51
5/26/13,57
5/27/13,153
5/28/13,155
5/29/13,49
5/30/13,49
5/31/13,78
6/1/13,103
6/2/13,66
6/3/13,124
6/4/13,128
6/5/13,152
6/6/13,59
6/7/13,75
6/8/13,76
6/9/13,45
6/10/13,40
6/11/13,61
6/12/13,72
6/13/13,113
6/14/13,88
6/15/13,87
6/16/13,99
6/17/13,115
6/18/13,107
6/19/13,127
6/20/13,63
6/21/13,67
6/22/13,64
6/23/13,45
6/24/13,63
6/25/13,55
6/26/13,107
6/27/13,125
6/28/13,98
6/29/13,164
6/30/13,54
7/1/13,29
7/2/13,NaN
7/3/13,NaN
7/4/13,NaN
7/5/13,73
7/6/13,58
7/7/13,94
7/8/13,110
7/9/13,45
7/10/13,20
7/11/13,67
7/12/13,93
7/13/13,98
7/14/13,103
7/15/13,153
7/16/13,81
7/17/13,310
7/18/13,65
7/19/13,66
7/20/13,108
7/21/13,93
7/22/13,71
7/23/13,78
7/24/13,90
7/25/13,81
7/26/13,90
7/27/13,87
7/28/13,88
7/29/13,43
7/30/13,55
7/31/13,118
8/1/13,94
8/2/13,78
8/3/13,119
8/4/13,68
8/5/13,101
8/6/13,141
8/7/13,74
8/8/13,43
8/9/13,80
8/10/13,86
8/11/13,148
8/12/13,75
8/13/13,84
8/14/13,76
8/15/13,152
8/16/13,125
8/17/13,157
8/18/13,136
8/19/13,142
8/20/13,107
8/21/13,146
8/22/13,147
8/23/13,147
8/24/13,103
8/25/13,98
8/26/13,108
8/27/13,119
8/28/13,99
8/29/13,85
8/30/13,98
8/31/13,77
9/1/13,58
9/2/13,68
9/3/13,107
9/4/13,62
9/5/13,48
9/6/13,93
9/7/13,109
9/8/13,74
9/9/13,80
9/10/13,91
9/11/13,97
9/12/13,69
9/13/13,74
9/14/13,276
9/15/13,243
9/16/13,242
9/17/13,141
9/18/13,99
9/19/13,87
9/20/13,84
9/21/13,130
9/22/13,153
9/23/13,182
9/24/13,85
9/25/13,45
9/26/13,49
9/27/13,103
9/28/13,76
9/29/13,111
9/30/13,244
10/1/13,145
10/2/13,159
10/3/13,183
10/4/13,132
10/5/13,122
10/6/13,160
10/7/13,169
10/8/13,207
10/9/13,190
10/10/13,306
10/11/13,222
10/12/13,436
10/13/13,218
10/14/13,154
10/15/13,99
10/16/13,47
10/17/13,38
10/18/13,46
10/19/13,67
10/20/13,78
10/21/13,100
10/22/13,71
10/23/13,100
10/24/13,86
10/25/13,102
10/26/13,84
10/27/13,85
10/28/13,80
10/29/13,62
10/30/13,32
10/31/13,47
11/1/13,96
11/2/13,174
11/3/13,105
11/4/13,111
11/5/13,103
11/6/13,111
11/7/13,172
11/8/13,126
11/9/13,176
11/10/13,59
11/11/13,50
11/12/13,57
11/13/13,73
11/14/13,97
11/15/13,112
11/16/13,158
11/17/13,192
11/18/13,197
11/19/13,280
11/20/13,271
11/21/13,284
11/22/13,157
11/23/13,93
11/24/13,58
11/25/13,45
11/26/13,NaN
11/27/13,NaN
11/28/13,NaN
11/29/13,NaN
11/30/13,NaN
12/1/13,195
12/2/13,304
12/3/13,299
12/4/13,330
12/5/13,205
12/6/13,320
12/7/13,261
12/8/13,281
12/9/13,273
12/10/13,179
12/11/13,159
12/12/13,137
12/13/13,236
12/14/13,159
12/15/13,84
12/16/13,109
12/17/13,163
12/18/13,149
12/19/13,155
12/20/13,126
12/21/13,121
12/22/13,158
12/23/13,173
12/24/13,208
12/25/13,241
12/26/13,178
12/27/13,167
12/28/13,193
12/29/13,181
12/30/13,213
12/31/13,238
1/1/14,210
1/2/14,238
1/3/14,238
1/4/14,169
1/5/14,206
1/6/14,177
1/7/14,90
1/8/14,79
1/9/14,113
1/10/14,122
1/11/14,98
1/12/14,111
1/13/14,93
1/14/14,160
1/15/14,229
1/16/14,262
1/17/14,238
1/18/14,304
1/19/14,197
1/20/14,96
1/21/14,137
1/22/14,262
1/23/14,267
1/24/14,251
1/25/14,235
1/26/14,264
1/27/14,334
1/28/14,341
1/29/14,314
1/30/14,382
1/31/14,688
2/1/14,178
2/2/14,139
2/3/14,143
2/4/14,167
2/5/14,136
2/6/14,52
2/7/14,68
2/8/14,83
2/9/14,61
2/10/14,97
2/11/14,116
2/12/14,135
2/13/14,155
2/14/14,221
2/15/14,312
2/16/14,173
2/17/14,142
2/18/14,107
2/19/14,140
2/20/14,181
2/21/14,209
2/22/14,195
2/23/14,202
2/24/14,162
2/25/14,135
2/26/14,148
2/27/14,69
2/28/14,106
3/1/14,60
3/2/14,96
3/3/14,101
3/4/14,59
3/5/14,92
3/6/14,84
3/7/14,101
3/8/14,42
3/9/14,140
3/10/14,160
3/11/14,161
3/12/14,114
3/13/14,117
3/14/14,50
3/15/14,103
3/16/14,189
3/17/14,197
3/18/14,155
3/19/14,218
3/20/14,61
3/21/14,63
3/22/14,70
3/23/14,101
3/24/14,128
3/25/14,157
3/26/14,262
3/27/14,203
3/28/14,235
3/29/14,219
3/30/14,207
3/31/14,52
4/1/14,56
4/2/14,69
4/3/14,165
4/4/14,92
4/5/14,93
4/6/14,178
4/7/14,134
4/8/14,244
4/9/14,136
4/10/14,148
4/11/14,52
4/12/14,84
4/13/14,107
4/14/14,102
4/15/14,90
4/16/14,101
4/17/14,140
4/18/14,66
4/19/14,58
4/20/14,72
4/21/14,46
4/22/14,60
4/23/14,132
4/24/14,136
4/25/14,132
4/26/14,125
4/27/14,101
4/28/14,99
4/29/14,63
4/30/14,72
5/1/14,164
5/2/14,60
5/3/14,117
5/4/14,89
5/5/14,98
5/6/14,86
5/7/14,236
5/8/14,294
5/9/14,197
5/10/14,93
5/11/14,62
5/12/14,134
5/13/14,243
5/14/14,206
5/15/14,79
5/16/14,100
5/17/14,166
5/18/14,157
5/19/14,136
5/20/14,109
5/21/14,119
5/22/14,111
5/23/14,134
5/24/14,106
5/25/14,102
5/26/14,93
5/27/14,123
5/28/14,145
5/29/14,132
5/30/14,149
5/31/14,148
6/1/14,160
6/2/14,227
6/3/14,175
6/4/14,65
6/5/14,90
6/6/14,92
6/7/14,136
6/8/14,94
6/9/14,113
6/10/14,102
6/11/14,103
6/12/14,62
6/13/14,103
6/14/14,91
6/15/14,112
6/16/14,114
6/17/14,87
6/18/14,92
6/19/14,115
6/20/14,61
6/21/14,57
6/22/14,76
6/23/14,72
6/24/14,83
6/25/14,64
6/26/14,72
6/27/14,111
6/28/14,202
6/29/14,69
6/30/14,75
7/1/14,52
7/2/14,62
7/3/14,90
7/4/14,109
7/5/14,88
7/6/14,121
7/7/14,76
7/8/14,NaN
7/9/14,NaN
7/10/14,NaN
7/11/14,NaN
7/12/14,NaN
7/13/14,NaN
7/14/14,47
7/15/14,53
7/16/14,115
7/17/14,134
7/18/14,121
7/19/14,85
7/20/14,76
7/21/14,123
7/22/14,71
7/23/14,57
7/24/14,38
7/25/14,102
7/26/14,90
7/27/14,110
7/28/14,105
7/29/14,131
7/30/14,134
7/31/14,86
8/1/14,86
8/2/14,123
8/3/14,101
8/4/14,92
8/5/14,110
8/6/14,112
8/7/14,58
8/8/14,70
8/9/14,217
8/10/14,131
8/11/14,56
8/12/14,62
8/13/14,81
8/14/14,110
8/15/14,112
8/16/14,121
8/17/14,105
8/18/14,100
8/19/14,83
8/20/14,130
8/21/14,101
8/22/14,78
8/23/14,99
8/24/14,107
8/25/14,113
8/26/14,153
8/27/14,56
8/28/14,52
8/29/14,92
8/30/14,119
8/31/14,113
9/1/14,59
9/2/14,60
9/3/14,177
9/4/14,98
9/5/14,106
9/6/14,147
9/7/14,146
9/8/14,79
9/9/14,176
9/10/14,61
9/11/14,87
9/12/14,38
