A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/1/2016 17:00,2016,1,1,17,131,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 18:00,2016,1,1,18,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 19:00,2016,1,1,19,153,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 20:00,2016,1,1,20,183,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 21:00,2016,1,1,21,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 22:00,2016,1,1,22,211,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/1/2016 23:00,2016,1,1,23,209,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 0:00,2016,1,2,0,227,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 1:00,2016,1,2,1,224,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 2:00,2016,1,2,2,226,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 3:00,2016,1,2,3,226,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 4:00,2016,1,2,4,213,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 5:00,2016,1,2,5,210,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 6:00,2016,1,2,6,211,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 7:00,2016,1,2,7,197,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 8:00,2016,1,2,8,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 9:00,2016,1,2,9,203,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 10:00,2016,1,2,10,209,µg/m³,1 Hr,Valid
